name,category,n,grade,score,gradrt,bkstd,avesat,pctsat
A G Cox Middle,M,788,C,62,0,12.96,0,0
A H Snipes Academy of Arts/Des,E,467,F,39,0,34.6,0,0
A L Brown High,H,1436,C,58,86.4,10.53,947,0.35
A L Stanback Middle,M,635,C,65,0,24.12,0,0
A T Allen Elementary,E,891,C,58,0,12.73,0,0
Aberdeen Elementary,E,328,D,41,0,42.32,0,0
Acme Delco Elementary,E,327,D,50,0,33.12,0,0
Acme Delco Middle,M,142,F,39,0,35.04,0,0
Adams Elementary,E,734,B,73,0,17.85,0,0
Ahoskie Elementary,E,491,D,42,0,0,0,0
Alamance Elementary,E,488,C,68,0,26.46,0,0
Alamance-Burlington Middle College,H,108,A,86,95,0,1034,0.43
Albemarle High,H,394,D,52,82.9,38.07,861,0.54
Albemarle Middle,M,373,C,56,0,20.76,0,0
Albemarle Road Elementary,E,1146,D,47,0,7.63,0,0
Albemarle Road Middle,M,1145,D,50,0,9.02,0,0
Albert H Bangert Elementary,E,433,C,57,0,27.45,0,0
Alderman Road Elementary,E,699,C,60,0,23.06,0,0
Alexander Central High,H,1478,B,76,88.2,7.18,1002,0.34
Alexander Graham Middle,M,1407,B,74,0,6.12,0,0
Alexander Wilson Elementary,E,565,C,69,0,16.12,0,0
Alleghany High,H,450,B,71,88.3,22.59,964,0.29
Allen Jay Elementary,E,408,D,49,0,23.27,0,0
"Allen Jay Middle, A Preparatory Academy",M,294,C,60,0,31.09,0,0
Allen Middle,M,652,D,51,0,36.33,0,0
Allenbrook Elementary,E,537,D,46,0,16.09,0,0
Alston Ridge Elementary,E,1151,B,81,0,19.7,0,0
Altamahaw Ossipee Elem,E,557,C,69,0,22.24,0,0
Andrews Elementary,E,338,C,61,0,22.19,0,0
Andrews High,H,274,C,62,94.3,17.79,929,0.38
Andrews Middle,M,182,D,51,0,28.02,0,0
Angier Elementary,E,453,D,54,0,30.06,0,0
Anne Chesnutt Middle,M,408,D,54,0,25.59,0,0
Anson Co. Early College High,H,210,B,70,95,0,870,0.54
Anson High School,H,618,D,50,90,22.65,790,0.53
Anson High School,H,618,D,50,90,22.65,790,0.53
Anson Middle,M,554,D,42,0,21.87,0,0
Anson New Tech High,H,132,D,46,95,10.08,813,0.91
Anson New Tech High,H,132,D,46,95,10.08,813,0.91
Ansonville Elementary,E,186,B,70,0,44.94,0,0
Antioch Elementary,E,730,A,87,0,21.37,0,0
Apex Elementary,E,644,C,69,0,20.93,0,0
Apex High,H,2218,A,86,94.4,3.07,1113,0.79
Apex Middle,M,1284,B,78,0,9.35,0,0
Apple Valley Middle,M,860,C,67,0,20.6,0,0
Aquadale Elementary,E,301,C,68,0,23.41,0,0
Archdale Elementary,E,372,C,62,0,29.7,0,0
Archdale-Trinity Middle,M,803,C,55,0,224.16,0,0
Archer Elementary,E,407,C,56,0,29.9,0,0
Archer Lodge Middle,M,1037,C,66,0,10.5,0,0
Ardrey Kell High,H,2841,A,93,95,4.58,1120,0.83
Armstrong Elementary,E,427,B,70,0,26.81,0,0
Arthur W Edwards Elementary,E,644,B,74,0,19.92,0,0
Ashbrook High,H,1399,B,73,92.3,8.22,920,0.47
Ashe County High,H,930,C,69,87.8,11.61,993,0.46
Ashe County Middle,M,491,C,66,0,17.67,0,0
Asheboro High,H,1319,C,65,87.1,8.48,928,0.61
Asheville High,H,1033,C,66,85.5,16.59,1055,0.65
Asheville High,H,1033,C,66,85.5,16.59,1055,0.65
Asheville Middle,M,698,C,62,0,17.41,0,0
Ashley Academy,E,500,F,29,0,27.8,0,0
Ashley Elementary,E,214,C,55,0,53.41,0,0
Ashley Park PreK-8 School,I,584,F,33,0,3.42,0,0
Athens Drive High,H,1849,B,75,85,4.85,1103,0.65
Atkins Academic & Tech High,H,718,A,86,95,30.27,1036,0.63
Atkinson Elementary,E,368,B,76,0,32.15,0,0
Atlantic Elementary,E,71,B,71,0,150.48,0,0
Aulander Elementary,E,145,D,47,0,37.56,0,0
Aurelian Springs Elementary,E,314,D,50,0,30.77,0,0
Aversboro Elementary,E,586,C,63,0,20.59,0,0
Avery County High,H,398,B,70,95,19.8,999,0.15
Avery Middle,M,288,C,64,0,21.07,0,0
Avery's Creek Elementary,E,607,C,61,0,28.59,0,0
Aycock Elementary,E,383,B,72,0,33.07,0,0
Aycock Middle,M,611,D,50,0,35.87,0,0
Ayden Elementary,E,688,C,56,0,17.56,0,0
Ayden Middle,M,326,C,60,0,25.89,0,0
Ayden-Grifton High,H,688,D,52,86,11.75,918,0.45
B Everett Jordan Elem,E,398,C,58,0,13.71,0,0
B F Grady Elementary,I,927,D,49,0,22.95,0,0
B O Barnes Elementary,E,398,F,35,0,14.15,0,0
B T Washington Primary,E,196,D,45,0,87.82,0,0
Badin Elementary,E,445,C,66,0,17.46,0,0
Bailey Elementary,E,625,C,55,0,16.76,0,0
Bailey Middle,M,1572,B,82,0,6.62,0,0
Baileywick Road Elementary,E,444,C,60,0,30.97,0,0
Bain Elementary,E,954,A,87,0,14.46,0,0
Bald Creek Elementary,E,163,A,85,0,39.48,0,0
Balfour Elementary,E,545,C,56,0,22.02,0,0
Ballantyne Elementary,E,884,A,86,0,16.88,0,0
Ballentine Elementary,E,478,C,67,0,27.23,0,0
Balls Creek Elementary,E,560,B,71,0,25.11,0,0
Bandys High,H,852,B,76,94,15.36,1021,0.56
Banks Elementary,E,568,C,65,0,16.86,0,0
Banks Road Elementary,E,686,B,76,0,31.9,0,0
Banner Elk Elementary,E,158,C,64,0,44.28,0,0
Banoak Elementary,E,292,C,69,0,32.11,0,0
Barnardsville Elementary,E,154,C,67,0,44.73,0,0
Barnette Elementary,E,658,B,73,0,17.01,0,0
Barringer Academic Center,E,596,C,60,0,19.86,0,0
Bartlett Yancey High,H,813,D,53,76.6,11.58,897,0.47
Barwell Road Elementary,E,832,D,46,0,20.27,0,0
Baskerville Elementary,E,386,D,40,0,18.38,0,0
Bath Elementary,I,576,C,65,0,22.32,0,0
Baton Elementary,E,412,C,61,0,33.41,0,0
Battleground Elementary,E,277,D,52,0,24.7,0,0
Baucom Elementary,E,743,B,80,0,19.3,0,0
Bearfield Primary,E,691,D,51,0,30.89,0,0
Beaufort Co Early College High,H,228,A,93,95,0,1088,0.17
Beaufort Elementary,E,445,B,72,0,40.31,0,0
Beaufort Middle,M,248,C,60,0,40.46,0,0
Beaver Dam Elementary,E,97,A,85,0,62.99,0,0
Beddingfield High,H,815,D,54,83.3,19.78,909,0.41
Bee Log Elementary,E,50,C,69,0,91.74,0,0
Bell Elementary,E,278,B,73,0,45.2,0,0
Bell Fork Elementary,E,633,C,65,0,32.45,0,0
Belmont Central Elementary,E,726,B,75,0,15.58,0,0
Belmont Elementary School,E,632,C,55,0,16.95,0,0
Belmont Middle,M,733,C,63,0,14.15,0,0
Belville Elementary,E,798,C,61,0,19.03,0,0
Belvoir Elementary,E,483,D,47,0,23.63,0,0
Ben D Quinn Elementary,E,479,C,65,0,28.53,0,0
Ben L. Smith High School,H,1220,C,57,83.6,11.45,786,0.58
Benhaven Elementary,E,495,D,52,0,25.79,0,0
Benjamin J Martin Elementary,E,543,C,58,0,20.94,0,0
Bennett School,I,211,C,67,0,58.15,0,0
Benson Elementary,E,613,D,49,0,16.85,0,0
Benson Middle,M,445,C,58,0,50.24,0,0
Benton Heights Elementary,E,590,D,42,0,19.83,0,0
Benvenue Elementary,E,700,D,51,0,20.24,0,0
Berewick Elementary,E,635,C,59,0,16.38,0,0
Berryhill School,I,685,C,59,0,18.5,0,0
Bertie Early College High,H,171,B,80,95,0,908,0.53
Bertie High,H,483,D,47,83.5,19.15,760,0.45
Bertie Middle,M,555,D,44,0,13.64,0,0
Bessemer City Central Elem,E,436,D,43,0,18.08,0,0
Bessemer City High,H,620,C,59,83.1,13.62,888,0.3
Bessemer City Middle,M,526,D,49,0,15.29,0,0
Bessemer Elementary,E,479,F,39,0,25.66,0,0
Bethany Elementary,E,437,C,65,0,31.22,0,0
Bethel Elementary,E,499,B,76,0,25.04,0,0
Bethel Elementary,E,651,C,56,0,11.12,0,0
Bethel Elementary,I,177,C,62,0,30.41,0,0
Bethel Elementary,I,288,C,55,0,28.79,0,0
Bethel Middle,M,279,B,72,0,19.22,0,0
Bethesda Elementary,E,665,D,45,0,20.29,0,0
Bethlehem Elementary,E,474,C,66,0,24.7,0,0
Bethware Elementary,E,404,B,77,0,19.88,0,0
Beulaville Elementary,I,915,C,58,0,11.28,0,0
Beverly Hills Elementary,E,324,C,64,0,25.8,0,0
Beverly Woods Elementary,E,779,B,80,0,14.18,0,0
Bill Hefner Elementary,E,782,C,58,0,22.63,0,0
Billingsville Elementary,E,312,D,52,0,30.01,0,0
Black Mountain Elementary,E,210,C,62,0,31.21,0,0
Black Mountain Primary,E,426,B,70,0,45.57,0,0
Blackburn Elementary,E,669,C,66,0,19.35,0,0
Bladen Lakes Primary,E,237,D,54,0,47.89,0,0
Bladenboro Middle,M,322,D,43,0,21.17,0,0
Bladenboro Primary,E,385,C,60,0,37.77,0,0
Blowing Rock Elementary,I,350,B,81,0,37.14,0,0
Blue Creek Elementary,E,464,C,56,0,30.75,0,0
Blue Ridge Early College,T,179,C,60,95,28.49,866,0.15
Blue Ridge Elementary,E,517,C,65,0,17.9,0,0
Blue Ridge School,E,165,D,48,0,30.85,0,0
Bluford Elementary,E,293,D,40,0,43.48,0,0
Blythe Elementary,E,1127,C,66,0,12.1,0,0
Bogue Sound Elementary,E,427,C,67,0,32.02,0,0
Boiling Springs Elementary,E,515,B,78,0,22.97,0,0
Bolivia Elementary,E,466,C,59,0,20.18,0,0
Bolton Elementary,E,462,D,52,0,26.75,0,0
Bonlee School,I,326,C,62,0,40.95,0,0
Boomer-Ferguson Elementary,E,147,C,56,0,44.76,0,0
Boone Trail Elementary,E,970,C,59,0,22.88,0,0
Boonville Elementary,A,332,C,64,0,46.2,0,0
Bostian Elementary,E,342,C,64,0,24.93,0,0
Bowman Middle,M,224,C,65,0,26.78,0,0
Bradley Creek Elementary,E,446,C,69,0,24.44,0,0
Brassfield Elementary,E,760,A,86,0,20.38,0,0
Brawley Middle,M,748,B,77,0,16.04,0,0
Braxton Craven Middle,M,365,C,59,0,23.46,0,0
Brentwood Elementary,E,539,C,64,0,25.26,0,0
Brentwood Elementary,E,393,C,55,0,36.34,0,0
Brevard Elementary,E,534,C,65,0,28.56,0,0
Brevard High,H,727,B,74,94.6,18.14,1053,0.47
Brevard Middle,M,500,C,68,0,31.19,0,0
Briarcliff Elementary,E,560,C,69,0,20.3,0,0
Briarwood Elementary,E,726,D,45,0,7.68,0,0
Bridgeton Elementary,E,459,C,68,0,25.26,0,0
Brier Creek Elementary,E,305,C,63,0,32.73,0,0
Brier Creek Elementary,E,983,C,68,0,12.53,0,0
Brightwood Elementary,E,590,D,43,0,23.55,0,0
Brinson Memorial Elementary,E,676,B,70,0,24.26,0,0
Broad Creek Middle,M,630,C,68,0,19.84,0,0
Broadview Middle,M,787,D,45,0,17.64,0,0
Broadway Elementary,E,572,D,50,0,18.12,0,0
Brogden Middle,M,585,D,44,0,17.2,0,0
Brogden Middle,M,500,F,35,0,12,0,0
Brogden Primary,E,834,F,38,0,12.56,0,0
Brooks Elementary,E,564,B,70,0,16.31,0,0
Brooks Global Elementary,E,409,B,79,0,42.18,0,0
Brookside Elementary,E,530,C,64,0,19.69,0,0
Brown Summit Middle,M,240,A,96,0,25.84,0,0
Bruce Drysdale Elementary,E,522,D,53,0,31.27,0,0
Bruns Academy,I,805,F,28,0,12.49,0,0
Brunson Elementary,E,611,B,70,0,25.21,0,0
Brunswick County Early College,H,311,A,95,95,1.85,1067,0.12
Brush Creek Elementary,E,372,B,70,0,43.73,0,0
BT Bullock Elementary,E,700,C,56,0,13.77,0,0
Buckland Elementary,E,226,C,67,0,29.78,0,0
Bugg Elementary,E,535,D,44,0,22.64,0,0
Buies Creek Elementary,E,307,C,66,0,39.19,0,0
Bunker Hill High,H,915,C,64,86.9,13.44,944,0.55
Bunn Elementary,E,634,C,59,0,23.64,0,0
Bunn High,H,859,C,66,84.6,11.88,958,0.47
Bunn Middle,M,663,D,51,0,17.21,0,0
Burgaw Elementary,E,512,C,57,0,26.78,0,0
Burgaw Middle,M,248,D,46,0,44.58,0,0
Burke Middle College,H,129,A,99,95,0,953,0.3
Burns High,H,1035,C,69,91.5,13.37,963,0.48
Burns Middle,M,772,C,55,0,20.75,0,0
Burnsville Elementary,E,374,C,61,0,41.19,0,0
Burton Elementary,E,345,D,52,0,27.63,0,0
Butler Avenue Elementary,E,519,B,74,0,24.96,0,0
Butler High,H,2092,B,81,92.9,8.25,1018,0.46
Butner-Stem Elementary,E,486,D,54,0,25.74,0,0
Butner-Stem Middle,M,408,F,38,0,18.54,0,0
C B Eller Elementary,E,276,C,69,0,31.28,0,0
C C Griffin Middle,M,1084,C,55,0,11.1,0,0
C C Spaulding Elementary,E,265,F,38,0,45.88,0,0
C C Wright Elementary,E,387,D,51,0,30.4,0,0
C E Jordan High,H,1944,C,68,85.1,8.38,994,0.57
C M Eppes Middle,M,557,D,46,0,10.74,0,0
C Wayne Collier Elementary,E,501,C,58,0,40.11,0,0
C. G. Credle Elementary,E,446,F,34,0,21.54,0,0
Cabarrus-Kannapolis Early Coll,H,229,A,89,95,0,1057,0.49
Caldwell Career Cen Mid. Coll.,H,237,B,81,93.8,0,998,0.31
Caldwell Early College,H,377,A,90,95,0,1054,0.43
Caleb's Creek Elementary,E,779,C,68,0,20.31,0,0
Camden County High,H,422,B,75,90.7,11.64,1002,0.59
Camden Intermediate,E,432,C,69,0,0,0,0
Camden Middle,M,306,C,61,0,23.21,0,0
Cameron Elementary,E,252,D,54,0,73.44,0,0
Cameron Park Elementary,E,615,B,75,0,23.7,0,0
CamTech High,H,130,B,79,89.8,0,1002,0.66
Candler Elementary,E,548,C,59,0,36.61,0,0
Candor Elementary,E,335,C,59,0,36.54,0,0
Cane Creek Middle,M,612,B,77,0,33.7,0,0
Cane River Middle,M,249,C,60,0,36.11,0,0
Canton Middle,M,566,C,64,0,13.1,0,0
Cape Fear Elementary,E,481,C,66,0,37.52,0,0
Cape Fear High,H,1488,B,75,87.9,9.2,983,0.38
Cape Fear Middle,M,494,D,54,0,21.81,0,0
Cape Hatteras Elementary School,E,288,C,67,0,22.87,0,0
Cape Hatteras Secondary School,T,307,C,56,91.1,21.08,1043,0.54
Carl A Furr Elementary,E,767,C,60,0,14.05,0,0
Carmel Middle,M,1043,B,78,0,8.1,0,0
Carnage Middle,M,1092,C,68,0,12.04,0,0
Carolina Beach Elementary,E,469,B,77,0,34.65,0,0
Carolina Forest Elementary,E,856,B,70,0,11.71,0,0
Carpenter Elementary,E,747,B,71,0,23.3,0,0
Carr Elementary,E,681,D,54,0,12.78,0,0
Carrboro Elementary,E,499,C,68,0,38.55,0,0
Carrboro High,H,815,A,87,94.3,13.34,1172,0.67
Carroll Middle,M,982,D,46,0,11.36,0,0
Carson High,H,1222,C,68,93,7,972,0.33
Carthage Elementary,E,392,C,66,0,43.92,0,0
Cartoogechaye Elementary,E,350,C,69,0,24.66,0,0
Carver Elementary,E,443,C,59,0,28.77,0,0
Carver Elementary,E,567,D,51,0,11.81,0,0
Carver Elementary,E,202,D,53,0,25.26,0,0
Carver Heights Elementary,E,313,F,35,0,40.42,0,0
Carver High,H,638,D,44,73,9.86,827,0.27
Carver Middle,M,623,D,47,0,0,0,0
Cary Elementary,E,557,B,74,0,23.1,0,0
Cary High,H,2378,B,80,87.9,4.97,1077,0.57
Casar Elementary,E,277,B,74,0,39.83,0,0
Cash Elementary,E,656,C,69,0,26.09,0,0
Castle Hayne Elementary,E,598,C,68,0,20.09,0,0
Catawba Elementary School,E,443,C,57,0,34.46,0,0
Catawba Heights Elementary,E,335,C,57,0,0,0,0
Catawba Springs Elementary,E,535,B,80,0,19.37,0,0
Cato Middle College High,H,189,A,96,95,0,1000,0.45
CCCA - Fair Bluff /Southeastern Campuses,H,295,C,64,93.9,0.24,950,0.33
Ceasar Cone Elementary,E,488,F,33,0,20.18,0,0
Cedar Creek Middle,M,573,C,55,0,16.2,0,0
Cedar Fork Elementary,E,1056,A,87,0,11.3,0,0
Cedar Grove Elementary,E,199,D,54,0,26.8,0,0
Cedar Grove Middle,M,479,D,54,0,21.14,0,0
Cedar Ridge Elementary,E,370,B,76,0,32.45,0,0
Cedar Ridge High,H,1120,C,67,89.6,12.43,1066,0.59
Celeste Henkel Elementary,E,573,C,61,0,19.26,0,0
Centennial Campus Middle,M,572,D,53,0,9.49,0,0
Central Academy of Technology and Arts,H,787,A,95,95,13.84,1085,0.81
Central Cabarrus High,H,1563,C,69,95,5.25,970,0.47
Central Davidson High,H,924,C,64,81.5,6.53,989,0.45
Central Davidson Middle,M,782,C,55,0,20.3,0,0
Central Elementary,E,371,B,75,0,26.88,0,0
Central Elementary,E,431,C,61,0,23.68,0,0
Central Elementary,E,320,C,57,0,29.18,0,0
Central Elementary,E,461,C,67,0,28.7,0,0
Central Elementary,E,172,C,59,0,47.1,0,0
Central Elementary,E,232,C,66,0,42.06,0,0
Central Elementary,E,620,D,51,0,12.23,0,0
Central Elementary,E,234,F,36,0,24.16,0,0
Central Middle,M,524,C,63,0,31.93,0,0
Central Middle,M,600,C,68,0,18.56,0,0
Central Middle School,M,377,C,56,0,31.21,0,0
Central Wilkes Middle,M,669,C,63,0,26.87,0,0
Cerro Gordo Elementary,I,344,C,59,0,27.95,0,0
Chadbourn Elementary,E,267,D,42,0,38.95,0,0
Chadbourn Middle,M,120,D,51,0,64.17,0,0
Challenger Early College High,H,371,A,97,95,0,1043,0.61
Chaloner Middle School,M,665,C,57,0,7.05,0,0
Chantilly Montessori,E,265,B,79,0,32.18,0,0
Chapel Grove Elementary,E,446,D,52,0,28.53,0,0
Chapel Hill High,H,1441,A,85,92.7,11.42,1198,0.81
Charity Middle,M,483,D,51,0,23.66,0,0
Charles B Aycock High,H,1240,B,70,89.4,8.07,1031,0.27
Charles E Boger Elementary,E,810,B,71,0,12.29,0,0
Charles England Elementary School,E,434,C,58,0,36.49,0,0
Charles H Darden Middle,M,337,D,42,0,20.8,0,0
Charles H Tuttle Elementary,E,488,B,70,0,28.54,0,0
Charles P Murray Middle,M,849,C,66,0,21.87,0,0
Charles W McCrary Elementary,E,402,C,58,0,29.24,0,0
Charles W Stanford Middle,M,653,C,65,0,19.89,0,0
Chase High School,H,794,C,67,87.4,12.64,919,0.41
Chase Middle School,M,621,D,51,0,13.67,0,0
Chatham Central High,H,379,B,75,94.7,33.66,932,0.56
Chatham Middle,M,552,D,45,0,23.12,0,0
Cherryville Elementary,E,402,C,62,0,21.04,0,0
Cherryville High,H,526,B,72,88.4,13.17,981,0.31
Chesterfield Elementary,E,187,C,57,0,45.45,0,0
Chestnut Grove Middle,M,704,C,63,0,15.94,0,0
Chicod,I,905,B,72,0,21.39,0,0
Childers Elementary,E,434,B,75,0,15.93,0,0
China Grove Elementary,E,583,D,50,0,18.44,0,0
China Grove Middle,M,534,D,47,0,8.11,0,0
Chinquapin Elementary,I,534,C,64,0,45.49,0,0
Chocowinity Middle,M,406,C,59,0,25.02,0,0
Chocowinity Primary,E,507,B,81,0,24.21,0,0
Chowan Middle,M,468,C,61,0,18.33,0,0
Churchland Elementary,E,451,C,55,0,24.92,0,0
City of Medicine Academy,H,292,A,85,95,10.48,938,0.94
Clara J Peck Elementary,E,330,D,52,0,55.31,0,0
Claremont Elementary,E,387,C,57,0,29.44,0,0
Clarke Elementary,E,465,C,60,0,20.76,0,0
Clarkton School of Discovery,M,229,C,58,0,41.57,0,0
Claxton Elementary,E,607,B,73,0,26.89,0,0
Claxton Elementary,E,477,C,64,0,23.44,0,0
Clayton High,H,1548,B,73,90.5,9.28,1005,0.48
Clayton Middle,M,778,C,63,0,17.8,0,0
Clear Creek Elementary,E,517,B,79,0,21.57,0,0
Clear Creek Elementary,E,621,C,69,0,18.86,0,0
Clearmont Elementary,E,119,B,72,0,35.37,0,0
Clement Elementary,E,383,C,61,0,22.31,0,0
Clemmons Elementary,E,734,B,81,0,22.11,0,0
Clemmons Middle School,M,986,C,63,0,9.79,0,0
Cleveland ECHS,H,204,A,85,95,0,935,0.46
Cleveland Elementary,E,802,B,75,0,20.87,0,0
Cleveland Elementary,E,297,C,55,0,33.74,0,0
Cleveland High,H,1574,B,82,91.7,13.67,1031,0.42
Cleveland Middle,M,1142,B,83,0,8.82,0,0
Cliffdale Elementary,E,595,D,50,0,16.21,0,0
Cliffside Elementary School,E,316,B,74,0,30.04,0,0
Clinton High,H,887,C,63,92.1,9.64,912,0.65
Cloverleaf Elementary,E,651,D,51,0,16.38,0,0
Club Boulevard Elementary,E,492,D,53,0,22.1,0,0
Clyde Campbell Elementary,E,569,C,66,0,26.42,0,0
Clyde Elementary,E,466,B,77,0,25.29,0,0
Clyde Erwin Elementary,E,520,D,53,0,24.65,0,0
Coats Elementary,E,734,C,57,0,20.9,0,0
Coats-Erwin Middle,M,656,D,48,0,22.12,0,0
Cochrane Collegiate Academy,T,734,D,45,86.7,16.16,800,0.7
Coddle Creek Elementary,E,538,B,76,0,26.02,0,0
Coker-Wimberly Elementary,E,299,F,39,0,56.21,0,0
Colerain Elementary,E,202,D,44,0,33.78,0,0
Coleridge Elementary,E,356,C,62,0,29.09,0,0
Colfax Elementary,E,603,B,75,0,18.11,0,0
Collaborative College for Technology,H,218,A,95,95,0,1045,0.28
College Lakes Elementary,E,438,C,56,0,15.32,0,0
College Park Elementary,E,485,C,57,0,24.5,0,0
Collettsville School,I,356,B,70,0,30.87,0,0
Collinswood Language Academy,I,756,B,77,0,15.17,0,0
Coltrane-Webb Elementary,E,557,C,63,0,18.24,0,0
Columbia High,H,160,B,73,83.9,48.95,956,0.2
Columbia Middle,M,113,D,43,0,69.31,0,0
Combs Elementary,E,870,B,75,0,16.71,0,0
Comfort Elementary,E,144,D,51,0,48.14,0,0
Community House Middle,M,1760,A,89,0,7.45,0,0
Concord High,H,1290,C,59,87.6,8.04,1023,0.45
Concord Middle,M,810,F,38,0,12.39,0,0
Conn Elementary,E,578,C,63,0,19.31,0,0
Contentnea-Savannah School,I,871,D,47,0,15.81,0,0
Conway Middle,M,376,F,32,0,13.59,0,0
Cook Elementary,E,263,F,23,0,41.94,0,0
Cool Spring Elementary,E,396,B,75,0,17.77,0,0
Cooleemee Elementary,E,479,C,63,0,21.43,0,0
Cooper Elementary,E,600,D,51,0,16.67,0,0
Coopers Elementary,E,634,C,61,0,28.91,0,0
Copeland Elementary,E,320,C,67,0,28.83,0,0
Corinth Holders High,H,1742,B,80,93.3,12.57,1026,0.46
Corinth-Holders Elementary,E,559,C,65,0,15.7,0,0
Cornatzer Elementary,E,359,C,69,0,22.62,0,0
Cornelius Elementary,E,641,B,73,0,14.85,0,0
Corriher Lipe Middle,M,547,D,40,0,14.89,0,0
Costner Elementary,E,538,C,63,0,16.74,0,0
Cotswold Elementary,E,839,B,70,0,15.06,0,0
Coulwood STEM Academy,M,661,D,50,0,8.43,0,0
Courtney Elementary,I,267,B,75,0,38.84,0,0
Cove Creek Elementary,I,279,C,67,0,40.14,0,0
Covington Street Elementary,E,293,C,64,0,19.43,0,0
Cox Mill Elementary,E,1111,B,84,0,12.75,0,0
Cox Mill High School,H,1598,B,78,95,7.06,1009,0.68
Crain's Creek Middle,M,409,C,63,0,19.49,0,0
Cramerton Middle,M,840,C,65,0,14.26,0,0
Cranberry Middle,M,191,B,80,0,39.65,0,0
Creech Road Elementary,E,599,C,57,0,23.07,0,0
Creedmoor Elementary,E,428,D,45,0,34.71,0,0
Creekside Elementary,E,512,B,73,0,18.1,0,0
Creekside Elementary,E,633,C,57,0,21.16,0,0
Creekside Elementary,E,933,C,66,0,19.41,0,0
Crest High,H,1255,C,67,89.7,1.04,987,0.48
Crest Middle,M,907,C,56,0,25.49,0,0
Crestdale Middle,M,803,B,75,0,12.52,0,0
Creswell Elementary,E,173,D,47,0,0,0,0
Creswell High,T,184,C,58,93.1,96.76,858,0.48
Croatan High,H,896,A,90,90.5,13.3,1100,0.48
Croft Community Elementary,E,624,C,61,0,18.06,0,0
Cross Creek Early College,H,257,A,87,95,0,1042,0.41
Crossnore Elementary,E,205,B,83,0,32.72,0,0
Crown Point Elementary,E,689,B,73,0,23.08,0,0
CS Brown High,H,52,C,67,0,0,0,0
Culbreth Middle,M,715,B,75,0,19.06,0,0
Cullowhee Valley School,I,570,C,60,0,25.63,0,0
Cumberland International Early CollegeHS,H,244,A,91,95,0,1017,0.83
Cumberland Mills Elementary,E,621,C,60,0,18.89,0,0
Cumberland Road Elementary,E,384,C,63,0,25.86,0,0
Currituck County High,H,1005,C,59,89.1,15.92,1001,0.4
Currituck County Middle,M,362,B,71,0,21.75,0,0
Cuthbertson High,H,1517,A,92,95,6.1,1075,0.8
Cuthbertson Middle,M,1154,A,91,0,14.04,0,0
Cyrus P Frazier Elementary,E,296,D,43,0,68.85,0,0
D F Walker Elementary,E,481,D,54,0,35.59,0,0
D H Conley High,H,1613,B,72,91.5,5.02,1010,0.55
D S Johnson Elementary,E,302,F,39,0,47.64,0,0
D.C. Virgo Preparatory Academy,M,183,D,42,0,25.9,0,0
Dabney Elementary,E,521,C,56,0,10.07,0,0
Dalton McMichael High,H,943,B,71,86.9,9.99,946,0.5
Dana Elementary,E,562,B,70,0,14.1,0,0
Daniels Middle,M,1122,C,60,0,10.8,0,0
Davenport A+ School,E,505,C,67,0,22.31,0,0
David Cox Road Elementary,E,683,D,45,0,15.05,0,0
David D Jones Elementary,E,676,C,56,0,23.54,0,0
Davidson Early College,H,98,A,91,95,0,1175,0.21
Davidson Elementary,E,713,B,84,0,17.04,0,0
Davie County Early College High,H,154,A,92,95,0,1035,0.86
Davie County High,H,1733,B,70,86,7.7,1067,0.45
Davis Drive Elementary,E,1088,A,86,0,12.59,0,0
Davis Drive Middle,M,1290,A,86,0,8.81,0,0
Davis-Townsend Elementary,E,509,C,64,0,23.11,0,0
Dawson Elementary,E,228,F,33,0,44.25,0,0
Deep Branch Elementary,E,409,F,34,0,22.11,0,0
Deep River Elementary,E,628,C,57,0,13.22,0,0
Denton Elementary,E,371,C,55,0,33.65,0,0
Devonshire Elementary,E,646,D,48,0,10.22,0,0
Deyton Elementary,E,253,C,65,0,23.91,0,0
Diggs-Latham Elementary,E,489,F,36,0,36.08,0,0
Dillard Drive Elementary,E,727,C,64,0,198.69,0,0
Dillard Drive Middle,M,1131,C,63,0,10.04,0,0
Dillard Middle,M,489,F,23,0,17.45,0,0
Dilworth Elementary,E,730,B,81,0,13.25,0,0
Discovery High School,A,195,B,81,95,0,959,0.65
District No 7 Elementary,E,224,B,80,0,50.74,0,0
Dixon Elementary,E,999,B,74,0,15.44,0,0
Dixon High,H,835,B,70,91.4,7.83,977,0.36
Dixon Middle,M,656,D,53,0,11.65,0,0
Dixon Road Elementary,E,560,C,65,0,23.68,0,0
Dobson Elementary,E,384,C,66,0,26.87,0,0
Dole Elementary,E,498,D,40,0,21.09,0,0
Don D Steed Elementary,E,658,B,70,0,13.27,0,0
Donna L Loflin Elementary,E,364,C,55,0,42.97,0,0
Doris Henderson Newcomers Sch,A,285,F,7,0,55,0,0
Douglas Byrd High,H,1088,C,59,82.8,15.27,828,0.35
Douglas Byrd Middle,M,697,D,50,0,16.07,0,0
Douglas Elementary,E,659,C,61,0,16.25,0,0
Douglass Elementary,E,375,C,63,0,34.98,0,0
Down East Middle and Smyrna Elementary,I,251,B,72,0,50.92,0,0
Dr Hubert Eaton Sr Elem,E,577,B,84,0,22.38,0,0
Dr John Codington Elem,E,571,A,85,0,22.83,0,0
Draper Elementary,E,222,D,54,0,60.33,0,0
Drexel Elementary,E,474,C,63,0,27.36,0,0
